,date,platform,post_type,likes,shares,comments,views,engagment,quarter
0,2023-05-24,Twitter,image,868.0,238.0,352.0,8836.0,1458.0,2
1,2023-02-23,Twitter,image,944.0,610.0,146.0,5554.0,1700.0,1
2,2023-03-18,Instagram,image,1067.0,858.0,365.0,4018.0,2290.0,1
3,2023-06-12,Twitter,text,780.0,427.0,100.0,6999.0,1307.0,2
4,2023-02-03,Instagram,text,836.0,893.0,443.0,5802.0,2172.0,1
5,2022-12-28,Facebook,text,2019.0,763.0,445.0,9926.0,3227.0,4
6,2022-12-22,Instagram,text,2163.0,130.0,465.0,5323.0,2758.0,4
7,2022-11-18,Twitter,image,912.0,357.0,191.0,8977.0,1460.0,4
8,2023-01-09,Twitter,text,1746.0,497.2866465863454,356.0,6966.834673366834,2599.2866465863453,1
9,2023-03-26,Twitter,video,515.0,216.0,380.0,7090.0,1111.0,1
10,2023-09-17,Twitter,text,406.0,425.0,114.0,5499.0,945.0,3
11,2023-10-04,Facebook,text,1795.0,754.0,475.0,6476.0,3024.0,4
12,2023-02-07,Instagram,text,1389.0,565.0,296.0,6916.0,2250.0,1
13,2023-04-09,Twitter,image,1111.0,671.0,452.0,7902.0,2234.0,2
14,2023-03-13,Twitter,image,911.0,659.0,239.0,9796.0,1809.0,1
15,2023-05-26,Twitter,image,2123.0,289.0,475.0,7414.0,2887.0,2
16,2023-06-11,Facebook,image,1672.0,419.0,493.0,5762.0,2584.0,2
17,2023-08-30,Instagram,image,807.0,576.0,283.0,4258.0,1666.0,3
18,2023-05-28,Instagram,video,1588.0,279.0,352.0,6966.834673366834,2219.0,2
19,2023-02-14,Instagram,text,2196.0,575.0,370.0,6150.0,3141.0,1
20,2023-01-18,Twitter,image,490.0,219.0,432.0,6694.0,1141.0,1
21,2022-11-12,Twitter,text,2012.0,287.0,215.0,9056.0,2514.0,4
22,2022-10-28,Facebook,video,515.0,433.0,423.0,7151.0,1371.0,4
23,2023-08-17,Instagram,video,1912.0,159.0,337.0,8048.0,2408.0,3
